year,sex,name,n,prop
1990,F,Kaitlyn,4313,0.00209984
1990,F,Paige,4112,0.00200198
1990,F,Molly,3964,0.00192993
1990,F,Jenna,3958,0.00192701
1990,F,Leah,3924,0.00191045
1990,F,Julia,3910,0.00190364
1990,F,Bianca,3827,0.00186323
1990,F,Tara,3823,0.00186128
1990,F,Melanie,3812,0.00185593
1990,F,Marissa,3805,0.00185252
1990,F,Cynthia,3794,0.00184716
1990,F,Holly,3771,0.00183596
1990,F,Abigail,3718,0.00181016
1990,F,Meghan,3694,0.00179848
1990,F,Kathleen,3673,0.00178825
1990,F,Julie,3654,0.001779
1990,F,Ariel,3606,0.00175563
1990,F,Alexandria,3594,0.00174979
1990,F,Veronica,3587,0.00174638
1990,F,Patricia,3578,0.001742
1990,F,Diana,3544,0.00172545
1990,F,Gabrielle,3541,0.00172399
1990,F,Shelby,3517,0.0017123
1990,F,Kaitlin,3472,0.00169039
1990,F,Margaret,3370,0.00164073
1990,F,Brandi,3339,0.00162564
1990,F,Krystal,3290,0.00160178
1990,F,Natasha,3269,0.00159156
1990,F,Casey,3261,0.00158766
1990,F,Bethany,3235,0.001575
1990,F,Haley,3199,0.00155748
1990,F,Briana,3067,0.00149321
1990,F,Kara,3036,0.00147812
1990,F,Rachael,3028,0.00147422
1990,F,Miranda,2960,0.00144112
1990,F,Breanna,2951,0.00143674
1990,F,Dana,2935,0.00142895
1990,F,Leslie,2828,0.00137685
1990,F,Caroline,2820,0.00137296
1990,F,Kendra,2788,0.00135738
1990,F,Sabrina,2722,0.00132524
1990,F,Angelica,2717,0.00132281
1990,F,Karen,2716,0.00132232
1990,F,Felicia,2702,0.00131551
1990,F,Jillian,2677,0.00130333
1990,F,Brenda,2633,0.00128191
1990,F,Ana,2610,0.00127071
1990,F,Desiree,2574,0.00125319
1990,F,Meagan,2530,0.00123177
1990,F,Katrina,2479,0.00120694
1990,F,Chelsey,2447,0.00119136
1990,F,Valerie,2427,0.00118162
1990,F,Emma,2417,0.00117675
1990,F,Nancy,2384,0.00116068
1990,F,Alison,2362,0.00114997
1990,F,Monique,2362,0.00114997
1990,F,Sandra,2344,0.00114121
1990,F,Alisha,2343,0.00114072
1990,F,Britney,2293,0.00111638
1990,F,Brandy,2263,0.00110177
1990,F,Joanna,2231,0.00108619
1990,F,Gina,2208,0.001075
1990,F,Grace,2185,0.0010638
1990,F,Sierra,2168,0.00105552
1990,F,Candace,2164,0.00105357
1990,F,Jaclyn,2155,0.00104919
1990,F,Adriana,2150,0.00104676
1990,F,Krista,2143,0.00104335
1990,F,Alexa,2131,0.00103751
1990,F,Candice,2116,0.0010302
1990,F,Lacey,2047,9.9661e-4
1990,F,Rebekah,2043,9.9466e-4
1990,F,Sydney,2028,9.8736e-4
1990,F,Nichole,1992,9.6983e-4
1990,F,Denise,1956,9.5231e-4
1990,F,Dominique,1946,9.4744e-4
1990,F,Ashlee,1941,9.45e-4
1990,F,Anne,1926,9.377e-4
1990,F,Yesenia,1923,9.3624e-4
1990,F,Kirsten,1869,9.0995e-4
1990,F,Claire,1854,9.0265e-4
1990,F,Deanna,1854,9.0265e-4
1990,F,Colleen,1808,8.8025e-4
1990,F,Audrey,1797,8.7489e-4
1990,F,Mallory,1782,8.6759e-4
1990,F,Carly,1777,8.6516e-4
1990,F,Tabitha,1766,8.598e-4
1990,F,Cristina,1762,8.5785e-4
1990,F,Raven,1758,8.5591e-4
1990,F,Priscilla,1754,8.5396e-4
1990,F,Stacey,1736,8.452e-4
1990,F,Carolyn,1715,8.3497e-4
1990,F,Carrie,1707,8.3108e-4
1990,F,Kiara,1690,8.228e-4
1990,F,Susan,1687,8.2134e-4
1990,F,Stacy,1669,8.1258e-4
1990,F,Angel,1662,8.0917e-4
1990,F,Linda,1659,8.0771e-4
1990,F,Mercedes,1654,8.0527e-4
1990,F,Autumn,1652,8.043e-4
1990,F,Ashleigh,1623,7.9018e-4
1990,F,Kylie,1612,7.8482e-4
1990,F,Teresa,1611,7.8434e-4
1990,F,Gabriela,1604,7.8093e-4
1990,F,Kelli,1603,7.8044e-4
1990,F,Caitlyn,1585,7.7168e-4
1990,F,Renee,1573,7.6584e-4
1990,F,Arielle,1569,7.6389e-4
1990,F,Cindy,1568,7.634e-4
1990,F,Ebony,1566,7.6243e-4
1990,F,Justine,1565,7.6194e-4
1990,F,Karina,1561,7.5999e-4
1990,F,Meredith,1555,7.5707e-4
1990,F,Bridget,1546,7.5269e-4
1990,F,Hillary,1524,7.4198e-4
1990,F,Daisy,1520,7.4003e-4
1990,F,Amelia,1511,7.3565e-4
1990,F,Mayra,1503,7.3176e-4
1990,F,Theresa,1499,7.2981e-4
1990,F,Claudia,1494,7.2737e-4
1990,F,Madeline,1492,7.264e-4
1990,F,Sasha,1490,7.2543e-4
1990,F,Heidi,1465,7.1326e-4
1990,F,Robin,1413,6.8794e-4
1990,F,Destiny,1408,6.855e-4
1990,F,Madison,1407,6.8502e-4
1990,F,Lydia,1405,6.8404e-4
1990,F,Savannah,1402,6.8258e-4
1990,F,Wendy,1398,6.8064e-4
1990,F,Barbara,1388,6.7577e-4
1990,F,Melinda,1381,6.7236e-4
1990,F,Tamara,1378,6.709e-4
1990,F,Ellen,1377,6.7041e-4
1990,F,Alejandra,1376,6.6992e-4
1990,F,Chloe,1369,6.6652e-4
1990,F,Marie,1341,6.5288e-4
1990,F,Jenny,1337,6.5094e-4
1990,F,Virginia,1335,6.4996e-4
1990,F,Kasey,1333,6.4899e-4
1990,F,Jocelyn,1317,6.412e-4
1990,F,Carmen,1313,6.3925e-4
1990,F,Jade,1312,6.3877e-4
1990,F,Evelyn,1301,6.3341e-4
1990,F,Jacquelyn,1299,6.3244e-4
1990,F,Abby,1293,6.2952e-4
1990,F,Janet,1282,6.2416e-4
1990,F,Martha,1266,6.1637e-4
1990,F,Tracy,1266,6.1637e-4
1990,F,Cortney,1261,6.1394e-4
1990,F,Bailey,1259,6.1296e-4
1990,F,Ariana,1257,6.1199e-4
1990,F,Cassie,1253,6.1004e-4
1990,F,Brittani,1221,5.9446e-4
1990,F,Jasmin,1218,5.93e-4
1990,F,Hilary,1216,5.9203e-4
1990,F,Kaylee,1211,5.8959e-4
1990,F,Adrienne,1210,5.8911e-4
1990,F,Cara,1210,5.8911e-4
1990,F,Allyson,1198,5.8326e-4
1990,F,Kristine,1196,5.8229e-4
1990,F,Pamela,1194,5.8132e-4
1990,F,Raquel,1189,5.7888e-4
1990,F,Tina,1180,5.745e-4
1990,F,Gloria,1179,5.7401e-4
1990,F,Rosa,1175,5.7207e-4
1990,F,Camille,1170,5.6963e-4
1990,F,Michele,1164,5.6671e-4
1990,F,Tiara,1161,5.6525e-4
1990,F,Tasha,1154,5.6184e-4
1990,F,Mackenzie,1150,5.5989e-4
1990,F,Kristy,1134,5.521e-4
1990,F,Ann,1125,5.4772e-4
1990,F,Shawna,1124,5.4724e-4
1990,F,Sophia,1124,5.4724e-4
1990,F,Tanya,1118,5.4431e-4
1990,F,Jessie,1117,5.4383e-4
1990,F,Latoya,1116,5.4334e-4
1990,F,Marisa,1111,5.4091e-4
1990,F,Kari,1107,5.3896e-4
1990,F,Carissa,1106,5.3847e-4
1990,F,Janelle,1104,5.375e-4
1990,F,Mariah,1103,5.3701e-4
1990,F,Nina,1102,5.3652e-4
1990,F,Angelina,1099,5.3506e-4
1990,F,Deborah,1094,5.3263e-4
1990,F,Carla,1091,5.3117e-4
1990,F,Kellie,1087,5.2922e-4
1990,F,Elise,1072,5.2192e-4
1990,F,Hope,1055,5.1364e-4
1990,F,Hayley,1052,5.1218e-4
1990,F,Cierra,1042,5.0731e-4
1990,F,Kristi,1041,5.0683e-4
1990,F,Kate,1036,5.0439e-4
1990,F,Summer,1021,4.9709e-4
1990,F,Aimee,1019,4.9611e-4
1990,F,Chelsie,1014,4.9368e-4
1990,F,Sharon,1008,4.9076e-4
1990,F,Toni,1005,4.893e-4
1990,F,Karla,1002,4.8784e-4
1990,F,Alissa,998,4.8589e-4
1990,F,Devon,996,4.8492e-4
1990,F,Misty,996,4.8492e-4
1990,F,Regina,992,4.8297e-4
1990,F,Jeanette,989,4.8151e-4
1990,F,Nikki,985,4.7956e-4
1990,F,Esther,981,4.7761e-4
1990,F,Miriam,980,4.7713e-4
1990,F,Tatiana,979,4.7664e-4
1990,F,Christy,974,4.7421e-4
1990,F,Charlotte,961,4.6788e-4
1990,F,Maggie,958,4.6642e-4
1990,F,Stefanie,957,4.6593e-4
1990,F,Tessa,955,4.6496e-4
1990,F,Ruby,953,4.6398e-4
1990,F,Gabriella,945,4.6009e-4
1990,F,Hailey,945,4.6009e-4
1990,F,Ciara,944,4.596e-4
1990,F,Callie,941,4.5814e-4
1990,F,Faith,940,4.5765e-4
1990,F,Paula,940,4.5765e-4
1990,F,Aubrey,936,4.557e-4
1990,F,Asia,923,4.4938e-4
1990,F,Naomi,921,4.484e-4
1990,F,Jazmine,916,4.4597e-4
1990,F,Jazmin,910,4.4305e-4
1990,F,Carolina,909,4.4256e-4
1990,F,Tia,907,4.4159e-4
1990,F,Ruth,906,4.411e-4
1990,F,Trisha,905,4.4061e-4
1990,F,Rose,901,4.3866e-4
1990,F,Kelley,887,4.3185e-4
1990,F,Robyn,886,4.3136e-4
1990,F,Jaime,882,4.2941e-4
1990,F,Michaela,878,4.2747e-4
1990,F,Kassandra,873,4.2503e-4
1990,F,Karissa,871,4.2406e-4
1990,F,Sonia,867,4.2211e-4
1990,F,Melody,865,4.2114e-4
1990,F,Christian,863,4.2016e-4
1990,F,Helen,862,4.1968e-4
1990,F,Devin,861,4.1919e-4
1990,F,Donna,861,4.1919e-4
1990,F,Brianne,858,4.1773e-4
1990,F,Kelsie,856,4.1676e-4
1990,F,Clarissa,853,4.1529e-4
1990,F,Lori,853,4.1529e-4
1990,F,Marina,851,4.1432e-4
1990,F,Adrianna,850,4.1383e-4
1990,F,Cecilia,847,4.1237e-4
1990,F,Shaniqua,842,4.0994e-4
1990,F,Guadalupe,836,4.0702e-4
1990,F,Jill,834,4.0604e-4
1990,F,Rachelle,834,4.0604e-4
1990,F,Ashton,832,4.0507e-4
1990,F,Cheyenne,832,4.0507e-4
1990,F,Annie,821,3.9972e-4
1990,F,Sylvia,818,3.9825e-4
1990,F,Taryn,807,3.929e-4
1990,F,Roxanne,802,3.9046e-4
1990,F,Shayla,799,3.89e-4
1990,F,Randi,794,3.8657e-4
1990,F,Isabel,785,3.8219e-4
1990,F,Leticia,781,3.8024e-4
1990,F,Mia,780,3.7975e-4
1990,F,Eva,778,3.7878e-4
1990,F,Katlyn,778,3.7878e-4
1990,F,Hanna,777,3.7829e-4
1990,F,Alice,771,3.7537e-4
1990,F,Jane,771,3.7537e-4
1990,F,Simone,767,3.7342e-4
1990,F,Elisabeth,766,3.7294e-4
1990,F,Carol,763,3.7148e-4
1990,F,Shana,762,3.7099e-4
1990,F,Frances,759,3.6953e-4
1990,F,Elena,756,3.6807e-4
1990,F,Tierra,756,3.6807e-4
1990,F,Antoinette,753,3.6661e-4
1990,F,Lacy,753,3.6661e-4
1990,F,Ericka,749,3.6466e-4
1990,F,Brittni,746,3.632e-4
1990,F,Latasha,741,3.6077e-4
1990,F,Alyson,740,3.6028e-4
1990,F,Dawn,740,3.6028e-4
1990,F,Yvette,739,3.5979e-4
1990,F,Chantel,738,3.5931e-4
1990,F,Diane,730,3.5541e-4
1990,F,Shauna,730,3.5541e-4
1990,F,Tonya,725,3.5298e-4
1990,F,Liliana,722,3.5152e-4
1990,F,Lillian,722,3.5152e-4
1990,F,Meaghan,722,3.5152e-4
1990,F,Alana,721,3.5103e-4
1990,F,Suzanne,715,3.4811e-4
1990,F,Yvonne,712,3.4665e-4
1990,F,Christa,706,3.4373e-4
1990,F,Chasity,704,3.4275e-4
1990,F,Johanna,699,3.4032e-4
1990,F,Joy,697,3.3934e-4
1990,F,Kristie,696,3.3886e-4
1990,F,Rochelle,696,3.3886e-4
1990,F,Katelynn,695,3.3837e-4
1990,F,Bonnie,694,3.3788e-4
1990,F,Sandy,694,3.3788e-4
1990,F,Daniela,691,3.3642e-4
1990,F,Lorena,690,3.3594e-4
1990,F,Anastasia,688,3.3496e-4
1990,F,Lyndsey,687,3.3448e-4
1990,F,Irene,685,3.335e-4
1990,F,Alma,683,3.3253e-4
1990,F,Tanisha,681,3.3155e-4
1990,F,Keri,678,3.3009e-4
1990,F,Leanna,675,3.2863e-4
1990,F,Marlene,670,3.262e-4
1990,F,Yolanda,669,3.2571e-4
1990,F,Beth,663,3.2279e-4
1990,F,Blanca,662,3.223e-4
1990,F,Maribel,661,3.2182e-4
1990,F,Charlene,660,3.2133e-4
1990,F,Nadia,659,3.2084e-4
1990,F,Keisha,657,3.1987e-4
1990,F,Celeste,653,3.1792e-4
1990,F,Marisol,651,3.1695e-4
1990,F,Maya,651,3.1695e-4
1990,F,Katharine,647,3.15e-4
1990,F,Larissa,647,3.15e-4
1990,F,Kourtney,646,3.1451e-4
1990,F,Anita,643,3.1305e-4
1990,F,Casandra,642,3.1257e-4
1990,F,Corinne,642,3.1257e-4
1990,F,Kendall,642,3.1257e-4
1990,F,Shaina,639,3.1111e-4
1990,F,Elaine,631,3.0721e-4
1990,F,Alysha,630,3.0672e-4
1990,F,Arianna,630,3.0672e-4
1990,F,Shayna,628,3.0575e-4
1990,F,Sheila,626,3.0478e-4
1990,F,Kayleigh,620,3.0186e-4
1990,F,Cheryl,615,2.9942e-4
1990,F,Tabatha,614,2.9893e-4
1990,F,Iris,608,2.9601e-4
1990,F,Brenna,605,2.9455e-4
1990,F,Chanel,605,2.9455e-4
1990,F,Stacie,603,2.9358e-4
1990,F,Elisa,601,2.9261e-4
1990,F,Kylee,601,2.9261e-4
1990,F,Mindy,601,2.9261e-4
1990,F,Tiana,601,2.9261e-4
1990,F,Esmeralda,599,2.9163e-4
1990,F,Dorothy,596,2.9017e-4
1990,F,Juliana,596,2.9017e-4
1990,F,Kyla,596,2.9017e-4
1990,F,Diamond,591,2.8774e-4
1990,F,Shanna,589,2.8676e-4
1990,F,Nora,586,2.853e-4
1990,F,Marilyn,582,2.8335e-4
1990,F,Infant,581,2.8287e-4
1990,F,Kierra,581,2.8287e-4
1990,F,Josephine,578,2.8141e-4
1990,F,Kaila,575,2.7995e-4
1990,F,Kerri,574,2.7946e-4
1990,F,Christie,573,2.7897e-4
1990,F,Staci,571,2.78e-4
1990,F,Bridgette,569,2.7703e-4
1990,F,Alaina,567,2.7605e-4
1990,F,Stephany,564,2.7459e-4
1990,F,Ciera,559,2.7216e-4
1990,F,Kali,558,2.7167e-4
1990,F,Julianne,557,2.7118e-4
1990,F,Kerry,555,2.7021e-4
1990,F,Jalisa,553,2.6924e-4
1990,F,Vivian,552,2.6875e-4
1990,F,Lucy,551,2.6826e-4
1990,F,Tammy,550,2.6778e-4
1990,F,Sally,549,2.6729e-4
1990,F,Precious,547,2.6631e-4
1990,F,Judith,545,2.6534e-4
1990,F,Debra,543,2.6437e-4
1990,F,Sadie,541,2.6339e-4
1990,F,Tiffani,539,2.6242e-4
1990,F,Kirstie,537,2.6145e-4
1990,F,Charity,536,2.6096e-4
1990,F,Alisa,533,2.595e-4
1990,F,Krystle,530,2.5804e-4
1990,F,Eileen,529,2.5755e-4
1990,F,Margarita,529,2.5755e-4
1990,F,Noelle,529,2.5755e-4
1990,F,Francesca,528,2.5706e-4
1990,F,Mollie,527,2.5658e-4
1990,F,Mandy,526,2.5609e-4
1990,F,Tori,526,2.5609e-4
1990,F,Leigh,522,2.5414e-4
1990,F,Sheena,522,2.5414e-4
1990,F,Beatriz,521,2.5366e-4
1990,F,Cassidy,521,2.5366e-4
1990,F,Patrice,521,2.5366e-4
1990,F,Alanna,520,2.5317e-4
1990,F,Jodi,518,2.522e-4
1990,F,Traci,516,2.5122e-4
1990,F,Ashlie,514,2.5025e-4
1990,F,Janice,513,2.4976e-4
1990,F,Joyce,512,2.4927e-4
1990,F,Natalia,512,2.4927e-4
1990,F,Desirae,508,2.4733e-4
1990,F,Jordyn,508,2.4733e-4
1990,F,Abbey,507,2.4684e-4
1990,F,Connie,505,2.4587e-4
1990,F,Darlene,505,2.4587e-4
1990,F,Blair,501,2.4392e-4
1990,F,Genevieve,501,2.4392e-4
1990,F,Maritza,501,2.4392e-4
1990,F,India,500,2.4343e-4
1990,F,Tania,498,2.4246e-4
1990,F,Mckenzie,497,2.4197e-4
1990,F,Britany,496,2.4148e-4
1990,F,Tracey,496,2.4148e-4
1990,F,Latisha,495,2.41e-4
1990,F,Norma,494,2.4051e-4
1990,F,Tricia,493,2.4002e-4
1990,F,Kelsi,492,2.3954e-4
1990,F,Maureen,491,2.3905e-4
1990,F,Breanne,488,2.3759e-4
1990,F,Shantel,486,2.3662e-4
1990,F,Angelia,484,2.3564e-4
1990,F,Daniella,483,2.3516e-4
1990,F,Janae,480,2.3369e-4
1990,F,Kathy,478,2.3272e-4
1990,F,Serena,478,2.3272e-4
1990,F,Zoe,478,2.3272e-4
1990,F,Constance,475,2.3126e-4
1990,F,Jaimie,475,2.3126e-4
1990,F,Mariana,473,2.3029e-4
1990,F,Rosemary,472,2.298e-4
1990,F,Shirley,472,2.298e-4
1990,F,Annette,470,2.2883e-4
1990,F,Nicolette,470,2.2883e-4
1990,F,Sonya,470,2.2883e-4
1990,F,Katy,469,2.2834e-4
1990,F,Clara,466,2.2688e-4
1990,F,Lea,466,2.2688e-4
1990,F,Loren,463,2.2542e-4
1990,F,Kacie,460,2.2396e-4
1990,F,Kristyn,459,2.2347e-4
1990,F,Cristal,458,2.2298e-4
1990,F,Jami,458,2.2298e-4
1990,F,Alycia,457,2.225e-4
1990,F,Beverly,456,2.2201e-4
1990,F,Jackie,456,2.2201e-4
1990,F,Lena,452,2.2006e-4
1990,F,Ryan,451,2.1958e-4
1990,F,Elyse,449,2.186e-4
1990,F,Kira,449,2.186e-4
1990,F,Gladys,448,2.1812e-4
1990,F,Juanita,448,2.1812e-4
1990,F,Kaleigh,448,2.1812e-4
1990,F,Laurel,447,2.1763e-4
1990,F,Isamar,446,2.1714e-4
1990,F,Leanne,446,2.1714e-4
1990,F,Tyler,445,2.1665e-4
1990,F,Ashly,444,2.1617e-4
1990,F,Justina,444,2.1617e-4
1990,F,Lara,442,2.1519e-4
1990,F,Mara,442,2.1519e-4
1990,F,Jacklyn,440,2.1422e-4
1990,F,Lesley,440,2.1422e-4
1990,F,Paris,439,2.1373e-4
1990,F,Kala,438,2.1325e-4
1990,F,Carina,436,2.1227e-4
1990,F,Jana,433,2.1081e-4
1990,F,Rita,433,2.1081e-4
1990,F,Rocio,433,2.1081e-4
1990,F,Breana,432,2.1033e-4
1990,F,Whitley,432,2.1033e-4
1990,F,Cayla,431,2.0984e-4
1990,F,Brandie,429,2.0886e-4
1990,F,Brittanie,429,2.0886e-4
1990,F,Chantal,428,2.0838e-4
1990,F,Terri,426,2.074e-4
1990,F,Eliza,424,2.0643e-4
1990,F,Susana,424,2.0643e-4
1990,F,Araceli,423,2.0594e-4
1990,F,Edith,423,2.0594e-4
1990,F,Alexia,422,2.0546e-4
1990,F,Ashlyn,419,2.04e-4
1990,F,Joanne,418,2.0351e-4
1990,F,Skylar,418,2.0351e-4
1990,F,Jena,417,2.0302e-4
1990,F,Kirstin,413,2.0107e-4
1990,F,Shelly,413,2.0107e-4
1990,F,Kiera,412,2.0059e-4
1990,F,Aisha,410,1.9961e-4
1990,F,Katelin,409,1.9913e-4
1990,F,Paulina,408,1.9864e-4
1990,F,Kyra,407,1.9815e-4
1990,F,Sade,407,1.9815e-4
1990,F,Betty,406,1.9767e-4
1990,F,Cecily,404,1.9669e-4
1990,F,Tamika,404,1.9669e-4
1990,F,Tess,403,1.9621e-4
1990,F,Judy,402,1.9572e-4
1990,F,Madeleine,402,1.9572e-4
1990,F,Maegan,402,1.9572e-4
1990,F,Allie,400,1.9475e-4
1990,F,Lucia,400,1.9475e-4
1990,F,Sherry,399,1.9426e-4
1990,F,Lynn,398,1.9377e-4
1990,F,Maricela,398,1.9377e-4
1990,F,Lily,396,1.928e-4
1990,F,Angie,395,1.9231e-4
1990,F,Jennie,394,1.9182e-4
1990,F,Emilee,392,1.9085e-4
1990,F,Celia,391,1.9036e-4
1990,F,Genesis,391,1.9036e-4
1990,F,Lakeisha,391,1.9036e-4
1990,F,Noemi,389,1.8939e-4
1990,F,Brittny,388,1.889e-4
1990,F,Keshia,385,1.8744e-4
1990,F,Dianna,384,1.8696e-4
1990,F,Jayme,381,1.855e-4
1990,F,Dakota,380,1.8501e-4
1990,F,Maranda,380,1.8501e-4
1990,F,Savanna,379,1.8452e-4
1990,F,Eleanor,378,1.8403e-4
1990,F,Jessika,378,1.8403e-4
1990,F,Kaley,377,1.8355e-4
1990,F,Adrian,376,1.8306e-4
1990,F,Kailey,376,1.8306e-4
1990,F,Luz,375,1.8257e-4
1990,F,Rhonda,373,1.816e-4
1990,F,Sophie,373,1.816e-4
1990,F,Talia,373,1.816e-4
1990,F,Britni,370,1.8014e-4
1990,F,Jerrica,370,1.8014e-4
1990,F,Silvia,370,1.8014e-4
1990,F,Hollie,369,1.7965e-4
1990,F,Logan,368,1.7917e-4
1990,F,Shante,368,1.7917e-4
1990,F,Kenya,366,1.7819e-4
1990,F,Marisela,366,1.7819e-4
1990,F,Christin,365,1.7771e-4
1990,F,Emilie,365,1.7771e-4
1990,F,Octavia,365,1.7771e-4
1990,F,Josie,363,1.7673e-4
1990,F,Kaci,362,1.7624e-4
1990,F,Kiersten,362,1.7624e-4
1990,F,Fatima,361,1.7576e-4
1990,F,Lizbeth,358,1.743e-4
1990,F,Belinda,357,1.7381e-4
1990,F,Gretchen,357,1.7381e-4
1990,F,Jenifer,357,1.7381e-4
1990,F,Lizette,357,1.7381e-4
1990,F,Katlin,356,1.7332e-4
1990,F,Kristian,356,1.7332e-4
1990,F,Bryanna,355,1.7284e-4
1990,F,Janette,355,1.7284e-4
1990,F,Perla,355,1.7284e-4
1990,F,Terra,355,1.7284e-4
1990,F,Yadira,355,1.7284e-4
1990,F,Angelique,354,1.7235e-4
1990,F,Ashely,354,1.7235e-4
1990,F,Racheal,354,1.7235e-4
1990,F,Bobbie,351,1.7089e-4
1990,F,Danica,351,1.7089e-4
1990,F,Dayna,351,1.7089e-4
1990,F,Macy,351,1.7089e-4
1990,F,Lacie,349,1.6992e-4
1990,F,Maura,349,1.6992e-4
1990,F,Alysia,348,1.6943e-4
1990,F,Corina,348,1.6943e-4
1990,F,Elisha,348,1.6943e-4
1990,F,Sofia,348,1.6943e-4
1990,F,Jesse,347,1.6894e-4
1990,F,Laurie,344,1.6748e-4
1990,F,Christen,343,1.6699e-4
1990,F,Kacey,343,1.6699e-4
1990,F,Stevie,343,1.6699e-4
1990,F,Alexandrea,341,1.6602e-4
1990,F,Lorraine,341,1.6602e-4
1990,F,Kaitlynn,340,1.6553e-4
1990,F,Clare,338,1.6456e-4
1990,F,Jaleesa,338,1.6456e-4
1990,F,Julianna,338,1.6456e-4
1990,F,Antonia,337,1.6407e-4
1990,F,Janine,337,1.6407e-4
1990,F,Nikita,337,1.6407e-4
1990,F,Nathalie,332,1.6164e-4
1990,F,Yessenia,329,1.6018e-4
1990,F,Alina,326,1.5872e-4
1990,F,Paola,326,1.5872e-4
1990,F,Janie,323,1.5726e-4
1990,F,Kimberley,323,1.5726e-4
1990,F,Viviana,322,1.5677e-4
1990,F,Devan,321,1.5628e-4
1990,F,Kasandra,321,1.5628e-4
1990,F,Audra,320,1.558e-4
1990,F,Rhiannon,320,1.558e-4
1990,F,Corey,319,1.5531e-4
1990,F,Janessa,318,1.5482e-4
1990,F,Cameron,317,1.5434e-4
1990,F,Yasmin,317,1.5434e-4
1990,F,Kortney,316,1.5385e-4
1990,F,Kaylyn,315,1.5336e-4
1990,F,Abbie,314,1.5288e-4
1990,F,Alecia,314,1.5288e-4
1990,F,Arlene,314,1.5288e-4
1990,F,Gwendolyn,314,1.5288e-4
1990,F,Irma,312,1.519e-4
1990,F,Joann,312,1.519e-4
1990,F,Valeria,312,1.519e-4
1990,F,Roxana,310,1.5093e-4
1990,F,Brittaney,309,1.5044e-4
1990,F,Ali,308,1.4995e-4
1990,F,Skye,308,1.4995e-4
1990,F,Kristal,307,1.4947e-4
1990,F,Shanae,307,1.4947e-4
1990,F,Tiffanie,307,1.4947e-4
1990,F,Alesha,306,1.4898e-4
1990,F,Leann,306,1.4898e-4
1990,F,Nadine,306,1.4898e-4
1990,F,Amie,305,1.4849e-4
1990,F,Eden,305,1.4849e-4
1990,F,Chrystal,304,1.4801e-4
1990,F,Domonique,302,1.4703e-4
1990,F,Lauryn,302,1.4703e-4
1990,F,Myra,301,1.4655e-4
1990,F,Latifah,300,1.4606e-4
1990,F,Celina,299,1.4557e-4
1990,F,Cori,299,1.4557e-4
